planner,terrain,density,seed,obsFrac,numUAV,mission_time_s,fleet_energy_MJ,energy_per_UAV_MJ,HPC_pct,sorties,energy_per_bit_J,any_collision,met_hpc_target,composite_score,is_optimal_for_seed
priority,hilly,low,31002,0,1,6357.5,11.4599813633072,11.4599813633072,86.2010221465077,13,1102.98976414557,0,1,0.46776389879385,0
priority,hilly,low,31002,0,2,3498.75,10.5930247081381,5.29651235406903,86.7688813174333,12,1074.14088203757,0,1,0.0674663758633224,0
priority,hilly,low,31002,0,3,2918.75,11.5033710211138,3.83445700703792,85.9170925610449,13,1076.00609738495,0,1,0.0526807492914218,1
priority,hilly,low,31002,0,4,3313.75,13.248531605333,3.31213290133325,85.6899488926746,15,1131.97315168737,0,1,0.233666603613113,0
priority,hilly,low,31002,0,5,3826.25,12.3557900167082,2.47115800334165,86.541737649063,14,1266.92033548454,1,1,8.33050821963767,0
priority,hilly,low,31002,0,6,4893.75,14.1338620312698,2.35564367187831,86.03066439523,16,1381.91115856897,1,1,8.62993957336435,0
priority,hilly,low,31002,0,7,4546.25,14.1332957997397,2.01904225710567,86.03066439523,16,1423.04826041992,0,1,0.616220289487297,0
priority,hilly,low,31002,0,8,4042.5,15.0191182596165,1.87738978245206,86.7120954003407,17,1335.58858802636,1,1,8.55086672739502,0
priority,hilly,low,31002,0,9,4170,15.0140494350271,1.66822771500301,85.6899488926746,17,1434.93412183789,1,1,8.62997431343033,0
priority,hilly,low,31002,0,10,4510,15.8992509304165,1.58992509304165,86.8256672345258,18,1535.76086341367,1,1,8.78509632860778,0
priority,hilly,low,31003,0,1,5531.25,9.69647690418347,9.69647690418347,85.8585858585859,11,1060.61592093792,0,1,0.41236620287811,0
priority,hilly,low,31003,0,2,3526.25,10.5919229870795,5.29596149353976,86.2514029180696,12,1050.13300075689,0,1,0.157316250205399,0
priority,hilly,low,31003,0,3,2912.5,11.5072101636516,3.8357367212172,87.2615039281706,13,1046.80216400438,0,1,0.122517358175518,1
priority,hilly,low,31003,0,4,3192.5,13.2664099584774,3.31660248961936,87.2053872053872,15,1083.11473116954,1,1,8.31682371476152,0
priority,hilly,low,31003,0,5,3055,12.3743870743176,2.47487741486353,86.8686868686869,14,1118.09998459077,1,1,8.26678463225465,0
priority,hilly,low,31003,0,6,3851.25,13.2657586663565,2.21095977772609,86.5319865319865,15,1202.22115963627,1,1,8.5240253478483,0
priority,hilly,low,31003,0,7,3670,13.2434725350808,1.89192464786869,85.9147025813693,15,1251.14995743662,1,1,8.538633977294,0
priority,hilly,low,31003,0,8,3443.75,13.2661573918375,1.65826967397969,86.1391694725028,15,1263.159540798,1,1,8.51636149158108,0
priority,hilly,low,31003,0,9,3276.25,13.2769691760314,1.47521879733682,85.9147025813693,15,1286.89304521991,1,1,8.51275476265748,0
priority,hilly,low,31003,0,10,3607.5,14.1302974332078,1.41302974332078,85.5780022446689,16,1381.919347582,1,1,8.70615751789976,0
priority,hilly,low,31004,0,1,6515,11.4604917680176,11.4604917680176,85.3110599078341,13,1082.11842649417,0,1,0.458118621806451,0
priority,hilly,low,31004,0,2,3531.25,10.6032784263006,5.30163921315029,86.0023041474654,12,1086.33501086193,0,1,0.0851061577825933,1
priority,hilly,low,31004,0,3,3358.75,13.2554046479296,4.41846821597652,86.9815668202765,15,1089.05433591382,0,1,0.248818772456966,0
priority,hilly,low,31004,0,4,3177.5,13.2745690131351,3.31864225328379,86.2903225806452,15,1105.3129985536,0,1,0.244595776287565,0
priority,hilly,low,31004,0,5,3756.25,13.271121608194,2.65422432163881,86.9239631336406,15,1218.79748132135,1,1,8.40262655113443,0
priority,hilly,low,31004,0,6,2767.5,11.5069259252291,1.91782098753818,85.36866359447,13,1191.76379927773,1,1,8.15449262764563,0
priority,hilly,low,31004,0,7,4545,15.0055260440433,2.14364657772047,86.4055299539171,17,1399.83073621805,1,1,8.7583309564546,0
priority,hilly,low,31004,0,8,3593.75,14.1384043116986,1.76730053896232,87.0967741935484,16,1305.51930453586,1,1,8.51781805833451,0
priority,hilly,low,31004,0,9,3665,14.1329932694507,1.57033258549452,85.5990783410138,16,1360.17873827963,1,1,8.57153035420408,0
priority,hilly,low,31004,0,10,3807.5,15.0280908964158,1.50280908964158,86.8087557603687,17,1434.95652458253,1,1,8.71100733822548,0
priority,hilly,low,31005,0,1,6072.5,10.5787884501442,10.5787884501442,85.8750703432752,12,1056.48845427401,0,1,0.412962231888562,0
priority,hilly,low,31005,0,2,3820,11.4761928674746,5.73809643373732,85.9313449634215,13,1042.56964729855,0,1,0.187126599764032,0
priority,hilly,low,31005,0,3,2891.25,11.4913212297873,3.83044040992911,85.5374226223973,13,1063.93491057109,0,1,0.0952980458027693,1
priority,hilly,low,31005,0,4,2777.5,12.3755422562173,3.09388556405434,86.0438942037141,14,1085.25501909153,0,1,0.161025507472993,0
priority,hilly,low,31005,0,5,3200,12.3776852281882,2.47553704563764,86.381541924592,14,1123.4648869602,0,1,0.248043863360368,0
priority,hilly,low,31005,0,6,2856.25,12.3865032943975,2.06441721573291,87.450759707372,14,1140.78812174566,1,1,8.22304184297606,0
priority,hilly,low,31005,0,7,3058.75,13.2596588913665,1.89423698448094,86.1001688238604,15,1189.2820529348,1,1,8.35172022643594,0
priority,hilly,low,31005,0,8,4070,14.1508012063462,1.76885015079327,86.5503657850309,16,1364.70877646524,1,1,8.69800099056387,0
priority,hilly,low,31005,0,9,3926.25,15.0234959719395,1.6692773302155,86.7754642656162,17,1321.13070532703,1,1,8.69887056545199,0
priority,hilly,low,31005,0,10,3236.25,14.152398860923,1.4152398860923,85.9876195835678,16,1282.04528026641,1,1,8.51991244805115,0
priority,hilly,low,31006,0,1,5951.25,10.5774064491269,10.5774064491269,85.481148002251,12,1110.88799241566,0,1,0.411501145365157,0
priority,hilly,low,31006,0,2,3511.25,10.5884673710405,5.29423368552025,86.2689926842994,12,1110.79143144243,0,1,0.102941452711189,0
priority,hilly,low,31006,0,3,2921.25,11.5056311847915,3.83521039493049,86.7754642656162,13,1095.98507186154,0,1,0.0681930504513997,1
priority,hilly,low,31006,0,4,2793.75,12.3753089181449,3.09382722953623,85.5936972425436,14,1126.87106528855,1,1,8.12463550314875,0
priority,hilly,low,31006,0,5,2875,12.371549965464,2.4743099930928,85.481148002251,14,1144.15431677229,0,1,0.148055846739863,0
priority,hilly,low,31006,0,6,3855,13.2395691962663,2.20659486604439,87.3944850872257,15,1289.9098545255,1,1,8.43335534211814,0
priority,hilly,low,31006,0,7,3237.5,13.2527143571863,1.89324490816947,86.7191896454699,15,1273.49806888153,1,1,8.34320028876166,0
priority,hilly,low,31006,0,8,3416.25,13.2435725766434,1.65544657208043,86.0438942037141,15,1324.55925440394,1,1,8.40473809192583,0
priority,hilly,low,31006,0,9,3545,14.1389852236832,1.57099835818702,86.7754642656162,16,1355.04140114645,1,1,8.49477410308232,0
priority,hilly,low,31006,0,10,4247.5,15.9283269237171,1.59283269237171,86.6066404051773,18,1484.71819576244,1,1,8.78416468725257,0
priority,hilly,low,31007,0,1,5968.75,10.5779983616658,10.5779983616658,85.7545045045045,12,1094.86368890492,0,1,0.419095591877207,0
priority,hilly,low,31007,0,2,3797.5,11.4727775834867,5.73638879174335,85.9234234234234,13,1089.52191844765,0,1,0.19148220757419,0
priority,hilly,low,31007,0,3,3368.75,13.2512097364005,4.41706991213352,85.6418918918919,15,1086.04709867674,0,1,0.252483768913422,0
priority,hilly,low,31007,0,4,2907.5,12.3892593333766,3.09731483334414,86.5427927927928,14,1070.21601284004,0,1,0.12192641389849,1
priority,hilly,low,31007,0,5,3155,13.2681378600919,2.65362757201837,85.4166666666667,15,1150.07047883459,0,1,0.275295138076526,0
priority,hilly,low,31007,0,6,3236.25,13.2663634085592,2.2110605680932,85.1351351351351,15,1166.46042866441,1,1,8.29849025157245,0
priority,hilly,low,31007,0,7,3438.75,13.253403280084,1.89334332572629,85.7545045045045,15,1278.55988819339,1,1,8.41092577883524,0
priority,hilly,low,31007,0,8,3973.75,15.0346068531254,1.87932585664067,85.1914414414414,17,1335.21581449566,1,1,8.64462867044658,0
priority,hilly,low,31007,0,9,3608.75,14.1340112757505,1.57044569730562,85.4166666666667,16,1345.95274111249,1,1,8.54462980519414,0
priority,hilly,low,31007,0,10,3751.25,14.1297816690207,1.41297816690207,85.4166666666667,16,1457.44165460137,1,1,8.64934008381002,0
priority,hilly,medium,31022,0,1,5995,10.5833542232335,10.5833542232335,87.0913190529876,12,1082.61525189654,0,1,0.429366974820619,0
priority,hilly,medium,31022,0,2,3556.25,10.5915327258263,5.29576636291317,86.5839909808343,12,1047.1241263736,0,1,0.0918915711104196,0
priority,hilly,medium,31022,0,3,2926.25,11.4810543653276,3.82701812177585,86.6403607666291,13,1055.83347169795,0,1,0.0686699997200871,1
priority,hilly,medium,31022,0,4,2850,12.3814620012615,3.09536550031539,85.4002254791432,14,1045.07108956821,0,1,0.101259973727754,0
priority,hilly,medium,31022,0,5,3013.75,12.3878051570168,2.47756103140335,85.0620067643743,14,1111.08800394483,0,1,0.174082205143437,0
priority,hilly,medium,31022,0,6,3355,12.3608818706269,2.06014697843782,85.7384441939121,14,1225.50198833018,1,1,8.30546266145648,0
priority,hilly,medium,31022,0,7,3537.5,14.1509917229568,2.02157024613669,87.4295377677565,16,1220.66272993543,1,1,8.42569842178251,0
priority,hilly,medium,31022,0,8,3052.5,13.262136446435,1.65776705580438,86.4712514092446,15,1219.14599104614,1,1,8.31277116213923,0
priority,hilly,medium,31022,0,9,3220,13.2458447248689,1.47176052498544,86.4712514092446,15,1295.86272701295,1,1,8.39316504463465,0
priority,hilly,medium,31022,0,10,4132.5,15.9105562118369,1.59105562118369,86.4712514092446,18,1428.60561320569,1,1,8.7631160572337,0
priority,hilly,medium,31023,0,1,6023.75,10.5756263235485,10.5756263235485,87.010777084515,12,1048.63152581937,0,1,0.4,0
priority,hilly,medium,31023,0,2,3783.75,11.4893299409717,5.74466497048584,85.9330686330119,13,1065.41610160101,0,1,0.188408663452338,0
priority,hilly,medium,31023,0,3,2870,11.4942856267491,3.8314285422497,85.7629041406693,13,1085.13113366704,0,1,0.0856628187012081,1
priority,hilly,medium,31023,0,4,3176.25,13.2649332175267,3.31623330438169,86.6704480998298,15,1082.78398463179,0,1,0.242364439418141,0
priority,hilly,medium,31023,0,5,3175,14.1468096025001,2.82936192050002,85.7061826432218,16,1096.40358476959,1,1,8.31051778018485,0
priority,hilly,medium,31023,0,6,3321.25,13.2561853826516,2.20936423044194,86.9540555870675,15,1158.57359522175,1,1,8.30942494035166,0
priority,hilly,medium,31023,0,7,3221.25,13.2513991933521,1.89305702762173,85.4792966534316,15,1207.40929432453,1,1,8.32815971973375,0
priority,hilly,medium,31023,0,8,3340,13.2616028989611,1.65770036237013,87.3511060692002,15,1257.30884565335,1,1,8.37634138068548,0
priority,hilly,medium,31023,0,9,4073.75,15.0250670647149,1.66945189607944,85.5360181508792,17,1404.77353683815,1,1,8.68415014371383,0
