planner,terrain,treeDensity,ACR_m2_s,HPC_pct,energy_per_info_J,energy_per_bit_J,cross_track_RMSE_m,total_energy_J
priority_hybrid,flat,low,640.742399999999,40.8940397350993,3656.91467135077,1011.31357778864,287.569531233957,2421660.61977641
lawnmower,flat,low,737.183016105421,100,2246.97884902213,607.396842113677,0,5785355.31264422
greedy,flat,low,513.393991416308,46.3576158940397,9746.50732209983,2739.58321958791,180.140808456167,6679981.16530888
priority_hybrid,flat,medium,662.322371967654,39.8663697104677,3754.99601157052,1034.57370776625,317.692595296747,2532101.90945363
lawnmower,flat,medium,737.183016105421,100,2212.17385016633,598.539572590055,0,5785355.31264422
greedy,flat,medium,601.871186440678,13.0289532293987,28162.0547700177,7907.97402591896,0,5784321.38249904
priority_hybrid,flat,high,650.787096774193,39.8342541436464,3588.37938777291,998.79331990099,309.737534647309,2432860.4765585
lawnmower,flat,high,737.183016105421,100,2172.97150944213,592.719134019356,0,5785355.31264422
greedy,flat,high,386.901731025298,53.7016574585635,8169.1736920142,2315.93571616413,385.122455968201,6921277.6364768
priority_hybrid,hilly,low,646.946341463414,38.6934673366834,3641.53540610325,1017.94208320715,270.675953863656,2460875.67191771
lawnmower,hilly,low,737.183016105421,100,2110.51336538617,582.580224385744,0,5787591.41817223
greedy,hilly,low,475.922408026756,24.0647682858738,23819.6824858165,6863.00553788805,18.6408658936342,10280958.5206552
priority_hybrid,hilly,medium,622.336633663366,40.2832861189802,3662.43472539493,1019.42077449942,291.976463814614,2583195.72742114
lawnmower,hilly,medium,737.183016105421,100,2169.35272664503,592.153845470193,0,5787591.41817223
greedy,hilly,medium,492.211398963731,36.8271954674221,17562.5879403095,4950.70507677484,2.29040437420525,9636401.37460108
priority_hybrid,hilly,high,610.827906976744,38.7882219705549,3757.43701113253,1026.37798010592,326.962345897074,2383952.21718476
lawnmower,hilly,high,737.183016105421,100,2272.04050312919,608.870016697655,0,5787591.41817223
greedy,hilly,high,485.792750533049,39.0713476783692,10372.0833650901,2862.47038054477,250.404908797808,6496130.49026532
priority_hybrid,ridge,low,681.710982658959,39.3700787401575,3592.38067476438,990.940847943156,313.080357647725,2331276.92864228
lawnmower,ridge,low,737.183016105421,100,2236.15367604504,603.49758352201,0,5793813.32254823
greedy,ridge,low,370.899447513813,28.0652418447694,15052.97788098,4293.36324879964,0,5992800.28855626
priority_hybrid,ridge,medium,640.566583541147,43.0493273542601,3823.47534162206,1048.97876810983,304.666374908686,2659573.20873034
lawnmower,ridge,medium,737.183016105421,100,2223.76828975385,602.044461853945,0,5793813.32254823
greedy,ridge,medium,468.136882129278,25.0560538116592,22987.9885946165,6457.589263495,1.3223655820005,8094801.38705038
priority_hybrid,ridge,high,675.746341463414,41.2226584408301,3995.46232974406,1038.23316149975,288.786426273812,2383863.39085572
lawnmower,ridge,high,737.183016105421,100,2517.40514952499,646.53110202158,0,5793813.32254823
greedy,ridge,high,428.960216508795,57.3752103196859,8773.55241054737,2314.10617169629,426.361038056425,6899445.00479952
